Product name,Product link,Product cost,Product amount,Notes
10 kOhm resistor,https://aliexpress.com/item/1005011886443911.html,$0.05,4,Link leads to listing with 20 pieces available only. Price specified per unit; it is $0.91 to buy 20 pcs.
MX Cherry keyboard switches 1.00u,https://www.aliexpress.us/item/3256804049630074.html,$18.69,13,Both 3-pin and 5-pin switches are acceptable.
White keycaps,https://www.aliexpress.us/item/3256808845306164.html,$1.76,8,Link leads to listing with 20 pieces available only. Price specified per unit; it is $4.39 to buy 20 pcs.
White keycaps,https://www.aliexpress.us/item/3256808845306164.html,$1.10,5,Link leads to listing with 20 pieces available only. Price specified per unit; it is $4.45 to buy 20 pcs.
ESP32 DevKitV1,https://www.aliexpress.us/item/3256809960927549.html,$5.79,1,
SSD1306 i2c OLED display,https://www.aliexpress.us/item/3256808099809825.html,$7.05,1,Link leads to listing with multiple options. White i2c is recommended.
MAX98357A i2s audio amplifier,https://www.aliexpress.us/item/3256806817487911.html,$4.53,1,
3W 4Ohm speaker,https://www.aliexpress.us/item/3256809207290559.html,$3.46,1,
Total,,$42.43,,
